case_id,type,rate
2908,字符串,0.7707410657781505
2172,线性表,0.7082024587995931
2179,数组,0.771712903484108
2176,数组,0.6859784223885954
2307,数组,0.7420651288062019
2804,数组,0.7741502909674366
2456,数组,0.7970367521860293
2450,查找算法,0.7874867897411869
2081,字符串,0.7980025433892199
2180,字符串,0.6480910620608012
2190,字符串,0.6435560448763312
2177,字符串,0.5441632344839865
2892,字符串,0.7822967629030285
2188,字符串,0.6734352829228071
2199,字符串,0.7638887636313407
2198,字符串,0.7421602045416259
2164,字符串,0.8277109784512219
2531,字符串,0.7481425215767556
2894,字符串,0.538663303453574
2530,字符串,0.8026919506242748
2200,字符串,0.7697712217874059
2936,字符串,0.7169598895183978
2474,线性表,0.7607135351968067
2173,线性表,0.8156635994338218
2171,线性表,0.78746991012415
2647,线性表,0.8116636696279546
2548,线性表,0.7610415790638638
2547,线性表,0.7413081266352384
2589,线性表,0.7831930387967144
2169,线性表,0.6658536794351138
2145,线性表,0.7529325522269774
2607,线性表,0.7019107795831414
2629,线性表,0.7969368681566693
2561,线性表,0.7674999781418604
2186,线性表,0.8159813828096708
2142,线性表,0.762094723357222
2185,线性表,0.775882201265264
2482,线性表,0.7350623240608621
2141,线性表,0.8176898492085526
2184,线性表,0.7589866347885278
2140,线性表,0.7545992382933983
2183,线性表,0.6751783404588668
2182,线性表,0.7437070092493246
2181,线性表,0.8214364914725993
2614,线性表,0.7601304510595241
2558,线性表,0.7459130864675191
2610,线性表,0.733035277219793
2212,线性表,0.8028414462202588
2618,线性表,0.8127609521924726
2617,线性表,0.764630693848453
2615,线性表,0.7415506555032995
2494,数组,0.7745440887101916
2373,数组,0.7804652311777113
2252,数组,0.767571670111853
2395,数组,0.7709359020445412
2394,数组,0.797709349395598
2371,数组,0.7947175754834288
2392,数组,0.8000833989472693
2701,数组,0.7153515423452296
2426,数组,0.7937359474380186
2425,数组,0.785719479309839
2424,数组,0.8110332301163301
2203,数组,0.6864792013672519
2467,数组,0.79821800082416
2346,数组,0.6850965429165484
2423,数组,0.8110092136137368
2466,数组,0.7625317274403299
2345,数组,0.802863947257155
2389,数组,0.8031960666472618
2344,数组,0.8252430851102109
2388,数组,0.8110357268004779
2442,数组,0.6410197324638678
2209,数组,0.6947933491506582
2527,数组,0.6287445949590811
2342,数组,0.7655265741202321
2386,数组,0.7780863073905447
2341,数组,0.7801884177027204
2340,数组,0.7609568516233958
2283,数组,0.7660853420882598
2061,数组,0.6462171821606337
2280,数组,0.7901249366248441
2438,数组,0.6673264550623799
2339,数组,0.5750869364586948
2338,数组,0.7318464400001348
2359,数组,0.7804745479601777
2358,数组,0.8292399205741249
2357,数组,0.8162663817023257
2356,数组,0.7925149789127575
2279,数组,0.763947220178314
2498,数组,0.800400524306598
2278,数组,0.7955253392196243
2211,数组,0.7712441818891635
2718,数组,0.6341734437809348
2463,查找算法,0.5603976553050439
2451,查找算法,0.8315137144443366
2462,查找算法,0.7750577055028981
2461,查找算法,0.5660990410295743
2537,查找算法,0.6499934144262877
2449,查找算法,0.799846046470326
2514,查找算法,0.7411580650879236
2445,查找算法,0.768106475326122
2741,查找算法,0.7478298469001408
2542,查找算法,0.7781465893904685
2454,查找算法,0.6179048058510788
2465,查找算法,0.5561985687367297
2453,查找算法,0.5758781253030064
2464,查找算法,0.73728552112233
2506,查找算法,0.7816765751832258
2505,查找算法,0.7515333770434458
2535,排序算法,0.749014424247977
2534,排序算法,0.8454692944537071
2412,排序算法,0.7324844278407248
2444,排序算法,0.7675078409386723
2387,排序算法,0.7386825428208483
2441,排序算法,0.8528423838869696
2396,排序算法,0.7489396108310424
2440,排序算法,0.8853901764686702
2152,排序算法,0.7707995489932076
2490,排序算法,0.7321354930147752
2070,数字操作,0.5725697489815176
2111,数字操作,0.495176299216816
2099,数字操作,0.8083993018554735
2110,数字操作,0.7812636276127234
2153,数字操作,0.8000519077341024
2098,数字操作,0.7891965325679045
2097,数字操作,0.734036842440277
2096,数字操作,0.575897478679736
2095,数字操作,0.7433215817490881
2094,数字操作,0.7965205132759612
2093,数字操作,0.7754359958006039
2108,数字操作,0.5395623615217165
2106,数字操作,0.7302767395643733
2127,数字操作,0.8061628452420981
2105,数字操作,0.7168765188008487
2069,数字操作,0.8326095516120202
2068,数字操作,0.7855989386573352
